,AWARD TITLE,PROPOSAL NO,PROPOSAL TYPE,PRIME ACCOUNT,AWARD NO,AWARD AMOUNT,AWARD PROJECT PI PID,AWARD PROJECT PI,AWARD PI,SPONSOR,SPONSOR TYPE,SPONSOR CODE,ARRA FUNDING,OTHER PERSONNEL,AWARD ADMIN DEPT NO,AWARD ADMIN DEPT,AWARD ADMIN SCHOOL,AWARD PROJECT PI DEPT NO,AWARD PROJECT PI DEPT,AWARD PI HOME DEPT NO,AWARD PI HOME DEPT,AWARD PI HOME SCHOOL,OFFICIAL REPORT DATE,REPORT MONTH,FISCAL YEAR,PROJECT BEGIN DATE,PROJECT END DATE,AWARD MECHANISM,AWARD TYPE,CHESS CODE,PRIME SPONSOR CODE,PRIME SPONSOR,PAYMENT BASIS,PAYMENT METHOD,INVOICE FREQUENCY,Determined Dept,Determined College,SPONSOR AWARD NO,F&A ACTIVITY TYPE,CFDA NO,FINAL REPORT DUE DATE,PROGRAM DESIGNATION,AWARD NOTICE RECEIVED,PASS THRU AGENCY
3409,PTAC - DLA 2014-2015,14-0711,New,530142,A15-0004-003,17486,800011133,"Mcallister, George","Mcallister, George",NC Small Business Technology Devel Council,Educational and Research Institutions,12922,No,,['recHDXReP39XdsrOt'],Small Business Technology Development Center,Academic Affairs,30800,Small Business Technology Development Center (SBTDC),30800,Small Business Technology Development Center (SBTDC),Academic Affairs,10/1/2014,10,2015,2014-07-01,2015-06-30,Supplement,(10 - 15) Grant,03 - Public Service,5539,DOD Defense Logistics Agency,,,,SBTDC,Charlotte Research Institute,UNC-C2014-3 (DLA),OR - Organized Research (110),0,,,,
205,"REU Site: Socially Relevant Computing in Pervasive Computing, Computer Vision, and Human Computer Interaction",15-0106,Renewal (Competitive),530252,A15-0204-001,323815,800015263,"Lipford, Heather","Souvenir, Jamie",NSF Computer and Information Science and Engineering (CISE),Federal,5745,No,"Rorrer, Audrey; Latulipe, Celine; Wilson, David; Maher, Mary; Shin, Min; Zhang, Shaoting; Wang, Yu;",['recyLjbc94uVNYe4R'],Computer Science,College of Computing and Informatics,23300,Software and Information Systems,23200,Computer Science,College of Computing and Informatics,3/9/2015,3,2015,2015-03-01,2019-02-28,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,CS,CCI,1461166,OR - Organized Research (110),47.07,,,,
4017,Full Scale Testing Program for Tindall Slab System,18-0664,Supplement,560558,A18-0162-002,15836,800934228,"Braxtan, Nicole","Braxtan, Nicole",Tindall Corporation,Business and Industry,31655,No,"Tempest, Brett; Whelan, Matthew;",['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,6/1/2018,6,2018,2018-01-01,2018-12-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Civil and Environmental Engr,ENG,"Amendment 1, dated: 06/01/2018",OR - Organized Research (110),0,,,,
3717,HRSA Scholarships for Disadvantaged Students - Behavioral Health Scholars Program,16-0469,New,530444,A17-0023-002,542682,800949896,"Hatcher, Schnavia","Herman-smith, Robert",DHHS Health Resources and Services Administration (HRSA),Federal,5323,No,,['recAFo8Og11VK3jsh'],School of Social Work,College of Health and Human Services,22800,School of Social Work,22800,School of Social Work,College of Health and Human Services,6/12/2017,6,2017,2016-07-01,2020-06-30,,(10 - 15) Grant,04 - Student Support,,,,,,School of Social Work,CHHS,T08HP30226 YR2,FA - Student Financial Aid (230),93.925,,,,
1313,Mechanical Testing of 115 kV T-Pylon Post Insulator Assembly,19-0649,New,560610,A19-0045-002,39196,800749826,"Park, Youngjin","Young, David",Electric Power Research Institute (EPRI),Nonprofit Organization,15586,No,"Young, David; Gergely, Ioan;",['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,22150,Energy Production and Infrastructure Center,22200,Civil and Environmental Engineering,College of Engineering,3/27/2019,3,2019,2018-06-19,2019-12-31,Supplement,(20 - 25) Contract,06 - Other,,,,,,EPIC,ENG,10009581,OS - Other Sponsored Activities (401),0,,,,
2274,SaTC: CORE: Medium: Implicit One-handed Mobile User Authentication by Induced Thumb Biometrics on Touch-screen Handheld Devices,19-0406,New,530823,A19-0181-001,626030,801092048,"Zhou, Lina","Zhou, Lina",National Science Foundation (NSF),Federal,5738,No,"Zhang, Dongsong",['rece2cZJfvKldeTPe'],Business Info Systems/Oper,College of Business,20000,Business Info Systems/Oper,20000,Business Info Systems/Oper,College of Business,3/20/2019,3,2019,2018-08-15,2020-07-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Business Info Systems/Operations,Business,1917537,OR - Organized Research (110),47.07,,,,
1618,Performance Testing of an Integrated Magnetic Power Take-Off,19-0033,,530955,A19-0270-001,102326,800203790,"Williams, Wesley","Williams, Wesley",Portland State University,Educational and Research Institutions,12271,No,,['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,,,21800,Engineering Technology and Construction Management,College of Engineering,12/27/2019,12,2020,2019-06-01,2020-10-31,New,(20 - 25) Contract,01 - Research & Development (R&D),5453,Department of Energy (DOE),,,,Engineering Tech & Constr Mgmt,ENG,100131,OR - Organized Research (110),81.087,,,,
2086,North Carolina New Teacher Support Program,15-0134,New,560133,A15-0073-001,75350,800011592,"Macon, Amanda","Macon, Amanda",University of North Carolina General Administration (UNC GA),Educational and Research Institutions,13054,No,"Mungo, Sequoya",['rec3xjPI4JKflI9yH'],Deans Office College of Education,College of Education,20300,Deans Office College of Education,20300,Deans Office College of Education,College of Education,8/26/2014,8,2015,2014-08-31,2015-06-30,New,(20 - 25) Contract,03 - Public Service,14694,Z Smith Reynolds Foundation,,,,College of Education,Education,3-122355-03,OR - Organized Research (110),0,,,,
357,Support for Development of an AIERCI Tool to Ensure Uninterrupted Energy Flow from Cyber Attacks Targeting Essential Forecasting Data for Grid Operations,16-0505,New,530418,A16-0225-004,59924,800841785,"Hong, Tao","Hong, Tao",DOE Brookhaven National Laboratory,Federal,5456,No,,['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,21305,Systems Engineering and Engineering Management,21305,Systems Engineering and Engineering Management,College of Engineering,3/7/2019,3,2019,2016-04-22,2020-09-30,,(20 - 25) Contract,01 - Research & Development (R&D),5453,Department of Energy (DOE),,,,EPIC,ENG,"309507, Amendment 3",OR - Organized Research (110),0,,,,
2357,Capacity Building Program for U.S. Study Abroad (CBPSA),20-0163,,530949,A20-0131-001,14951,800985103,"Ladenheim, Rachel","Ladenheim, Rachel",World Learning,Nonprofit Organization,18204,No,,['recGGWuqTjGBt1nGD'],International Programs,Academic Affairs,,,26700,Intercultural Outreach,Academic Affairs,12/4/2019,12,2020,2019-10-01,2020-02-28,New,(20 - 25) Contract,06 - Other,5409,US Department of State (DOS),,,,International Programs,Academic Affairs,N/A,OS - Other Sponsored Activities (401),19,,,,
1144,Support for Development of an AIERCI Tool to Ensure Uninterrupted Energy Flow from Cyber Attacks Targeting Essential Forecasting Data for Grid Operations,16-0505,New,530418,A16-0225-002,59971,800841785,"Hong, Tao","Hong, Tao",DOE Brookhaven National Laboratory,Federal,5456,No,,['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,21305,Systems Engineering and Engineering Management,21305,Systems Engineering and Engineering Management,College of Engineering,3/24/2017,3,2017,2016-04-22,2020-09-30,,(20 - 25) Contract,01 - Research & Development (R&D),5453,Department of Energy (DOE),,,,EPIC,ENG,309507 MOD1,OR - Organized Research (110),0,,,,
2195,Green and Sustainable Water Purification Membranes,19-0427,,530941,A20-0120-001,24827,800002929,"Poler, Jordan","Poler, Jordan",EPA Office of Water,Federal,5282,No,,['rec7RUceU5R016UsF'],Chemistry,College of Liberal Arts and Sciences,,,17400,Chemistry,College of Liberal Arts and Sciences,11/19/2019,11,2020,2019-10-01,2020-09-30,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Chemistry,CLAS,83996101,OR - Organized Research (110),66.516,,,,
1516,Healthy Rowan: Daily Mile Evaluation,19-0240,New,560639,A19-0106-001,8000,801097912,"Hochwalt, Bridget","Hochwalt, Bridget",Novant Health Foundation,Nonprofit Organization,35440,No,"Gavarkavich, Diane",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,11/19/2018,11,2019,2019-01-01,2019-10-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,19-0240,PS - Public Service (401),0,,,,
576,"Vocal Accommodation Within Nonverbal Frequencies as a Marker of Status, Dominance, and Prestige",15-0694,New,530494,A16-0288-007,50000,800813852,"Dippong, Joseph","Dippong, Joseph",DOD DA Army Research Office (ARO),Federal,5564,No,,['recnI1vgSwToVQMP6'],Sociology,College of Liberal Arts and Sciences,19300,Sociology,19300,Sociology,College of Liberal Arts and Sciences,5/10/2019,5,2019,2016-11-09,2020-01-31,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Sociology,CLAS,W911NF-17-1-0008 MOD7,OR - Organized Research (110),12.431,,,,
1557,NCMEP - UNC Charlotte 2015-2016 Program,15-0223,New,530293,A16-0020-001,50000,800017685,"Ozelkan, Ertunga","Ozelkan, Ertunga",North Carolina Manufacturing Extension Partnership (NCMEP),Business and Industry,11384,No,"Teng, Sheng-Hsien",['rece0sXswTnNPAOWY'],Systems Engineering and Engineering Management,College of Engineering,21305,Systems Engineering and Engineering Management,21305,Systems Engineering and Engineering Management,College of Engineering,6/23/2015,6,2015,2015-07-01,2016-06-30,New,(20 - 25) Contract,01 - Research & Development (R&D),17846,National Institute of Science and Technology (NIST),,,,Systems Engin & Engin Management,ENG,2015-0820-05,OS - Other Sponsored Activities (401),11.611,,,,
847,The Center for Advanced Power Engineering Research (CAPER),19-0440,New,560644,A19-0187-001,95000,801022319,"Mazzola, Michael","Mazzola, Michael",Siemens USA,Business and Industry,22996,No,"Brown, Lori; Moose, Robin;",['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,22150,Energy Production and Infrastructure Center,22150,Energy Production and Infrastructure Center,College of Engineering,3/15/2019,3,2019,2019-01-01,2023-12-31,New,(20 - 25) Contract,06 - Other,,,,,,EPIC,ENG,Siemens 2018 & 2019,OS - Other Sponsored Activities (401),0,,,,
3454,CELLULAR PATHWAYS AFFECTING ONCOLYTIC VIRUS-HOST INTERACTIONS IN CANCER,15-0911,New,530407,A16-0216-001,445303,800406533,"Grdzelishvili, Valery","Grdzelishvili, Valery",National Institutes of Health (NIH),Federal,5332,No,"Bressy, Christian; Cataldi, Marcela;",['reczYCftV7YK7l9FJ'],Biological Sciences,College of Liberal Arts and Sciences,17200,Biological Sciences,17200,Biological Sciences,College of Liberal Arts and Sciences,4/22/2016,4,2016,2016-05-01,2019-04-30,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Biological Sciences,CLAS,1R15CA195463-01A1,OR - Organized Research (110),93.395,,,,
4061,SBA Federal SBTDC Budget for the 2015 Program Year,15-0384,New,530228,A15-0125-001,283447,800011133,"Mcallister, George","Mcallister, George",North Carolina Small Business and Technology Development Center (NC SBTDC),Educational and Research Institutions,12922,No,,['recHDXReP39XdsrOt'],Small Business Technology Development Center,Academic Affairs,30800,Small Business Technology Development Center (SBTDC),30800,Small Business Technology Development Center (SBTDC),Academic Affairs,11/3/2014,11,2015,2015-01-01,2015-12-31,New,(10 - 15) Grant,02 - Instruction,5845,US Small Business Administration (SBA),,,,SBTDC,Charlotte Research Institute,UNC-C 2015-2 (SBA),PS - Public Service (401),59.037,,,,
1053,Design and Estimation of Port Choice Models in Support of Transportation Infrastructure Investment in the Southern African Cone,18-0070,New,560548,A18-0143-001,75495,800388626,"Thill, Jean-claude","Thill, Jean-claude",World Bank Group,Business and Industry,16834,No,,['recJCGE2aYBybnDS9'],Geography and Earth Sciences,College of Liberal Arts and Sciences,18100,Geography and Earth Sciences,18100,Geography and Earth Sciences,College of Liberal Arts and Sciences,1/23/2018,1,2018,2017-09-18,2018-09-30,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Geography and Earth Sciences,CLAS,7184801,OR - Organized Research (110),0,,,,
2401,Role of DAI in viral CNS infection: A pilot study,17-0016,New,530518,A17-0175-002,67950,800212364,"Marriott, Ian","Marriott, Ian",National Institutes of Health (NIH),Federal,5332,No,"Johnson, Morgan",['reczYCftV7YK7l9FJ'],Biological Sciences,College of Liberal Arts and Sciences,17200,Biological Sciences,17200,Biological Sciences,College of Liberal Arts and Sciences,2/2/2018,2,2018,2017-03-01,2020-02-29,Non-competing Continuation/Progress Report,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Biological Sciences,CLAS,5R03NS097840-02,OR - Organized Research (110),93.853,,,,
403,Numerical Simulations of Turbulent Mixing due to the Richtmyer-Meshkov Instability,17-0053,New,501973,A14-0050-005,60089,800558757,"Ramaprabhu, Praveen","Ramaprabhu, Praveen",Los Alamos National Laboratory (LANL),Federal,5463,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,11/15/2016,11,2017,2013-08-30,2017-12-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),5453,Department of Energy (DOE),,,,Mech Engineering & Engineering Sci,ENG,245450-1 MOD5,OR - Organized Research (110),0,,,,
3003,DAVIDSONX STUDY: QUALITATIVE COMPONENT 2014-15,15-0036,New,560122,A15-0045-001,12500,800383275,"Hawn nelson, Amy","Hawn nelson, Amy",Davidson College,Educational and Research Institutions,12786,No,"Apaliski, Claire; Caratao, Frederick;",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,7/30/2014,7,2015,2014-07-01,2015-01-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,,OR - Organized Research (110),0,,,,
1907,AISL: Collaborative: Innovations in Development: Community-Driven Projects That Adapt Technology for Environmental Learning in Nature Preserves,14-0437,New,530266,A15-0234-004,7541,800782415,"Maher, Mary","Maher, Mary",NSF Directorate for Education and Human Resources (EHR),Federal,22558,No,"Grace, Kazjon",['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,5/10/2018,5,2018,2015-04-01,2020-03-31,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,SIS,CCI,1423212 MOD3,OR - Organized Research (110),47.076,,,,
2558,SBIR: Advanced nm coordinate metrology for freeform and large optics,19-0697,New,530913,A20-0083-001,31000,800385922,"Evans, Christopher","Evans, Christopher",OptiPro Systems,Business and Industry,24468,No,"Morse, Edward",['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,9/18/2019,9,2020,2019-08-19,2020-02-18,New,(20 - 25) Contract,01 - Research & Development (R&D),5796,NASA Goddard Space Flight Center,,,,Mech Engineering & Engineering Sci,ENG,2975-2019-0697,OR - Organized Research (110),43,,,9/20/2019,
260,National Technical Assistance Center on Increasing Graduation and Improving Transition to Postsecondary Education and Careers for students with Disabilities,15-0079,New,530213,A15-0089-002,2500000,800008039,"Fowler, Catherine","Test, David",US Department of Education (DOED),Federal,5500,No,"Fowler, Catherine",['recTEEQhVGGL85SyK'],Special Education and Child Development,College of Education,21000,Special Education and Child Development,21000,Special Education and Child Development,College of Education,7/23/2015,7,2016,2015-01-01,2020-09-30,Supplement,(10 - 15) Grant,03 - Public Service,,,,,,Special Ed & Child Dev,Education,H32E140004-15,OR - Organized Research (110),84.326,,,,
3182,"Priming Gender-based Status Beliefs: Self-Relevance, Stereotypes, and Schemas",18-0078,New,530661,A18-0159-001,150000,800813852,"Dippong, Joseph","Dippong, Joseph","NSF Social, Behavioral, and Economic Science (SBE)",Federal,5758,No,,['recnI1vgSwToVQMP6'],Sociology,College of Liberal Arts and Sciences,19300,Sociology,19300,Sociology,College of Liberal Arts and Sciences,2/12/2018,2,2018,2018-05-15,2020-04-30,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Sociology,CLAS,1756824,OR - Organized Research (110),47.075,,,,
2014,I-14 Data Collection for Student-Centered Transition Networks,19-0494,,530928,A20-0093-001,110683,800381201,"Mazzotti, Valerie","Mazzotti, Valerie",Sam Houston State University,Educational and Research Institutions,23823,No,,['recTEEQhVGGL85SyK'],Special Education and Child Development,College of Education,,,21000,Special Education and Child Development,College of Education,10/2/2019,10,2020,2019-07-01,2020-09-30,New,(20 - 25) Contract,03 - Public Service,5500,US Department of Education (DOED),,,,Special Ed & Child Dev,Education,P0114129,PS - Public Service (401),84.027,,,,
2171,Shalom Park Concrete Petrographic Evaluation,18-0011,New,560503,A18-0052-001,3144,800431195,"Cavalline, Tara","Cavalline, Tara","SKA Consulting Engineers, Inc.",Business and Industry,30041,No,,['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,21800,Engineering Technology and Construction Management,21800,Engineering Technology and Construction Management,College of Engineering,8/3/2017,8,2018,2017-07-24,2017-10-31,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Engineering Tech & Constr Mgmt,ENG,2975-2018-0011,OR - Organized Research (110),0,,,,
3735,Bromide Removal from Energy Wastewater and Impacted Drinking Water Source Using Electrically Conductive Membranes,17-0486,New,530715,A18-0250-001,149438,800930643,"Sun, Mei","Sun, Mei",US Department of the Interior (DOI),Federal,5393,No,,['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,6/25/2018,6,2018,2018-06-23,2020-03-31,New,Cooperative_Agreement,01 - Research & Development (R&D),,,,,,Civil and Environmental Engr,ENG,R17AC00137,OR - Organized Research (110),15.506,,,,
